model,cate2_id,score,actual_sum,forecast_sum,abs_error_sum,signed_error_sum,bias_ratio,n_rows
bottomup_mix,3,0.6245998499010712,14657.0,14575.895,5927.574999999999,-81.10499999999979,-0.005533533465238438,1008.0
bottomup_mix,4,0.290999095840868,553.0,400.63750000000005,571.9025,-152.3625,-0.27551989150090417,336.0
bottomup_mix,5,0.2994226957383549,1009.0,782.5025,1001.8575000000001,-226.4975,-0.22447720515361744,840.0
bottomup_mix,6,0.49665692191625793,13255.0,8209.1275,6906.5625,-5045.8724999999995,-0.38067691437193507,1848.0
cate2_mix,3,0.6533344950158911,14657.0,14575.895,5490.371890728,-81.10500000000025,-0.0055335334652384695,1008.0
cate2_mix,4,0.29757555730383506,553.0,400.6375,576.463659689241,-152.36249999999995,-0.27551989150090406,336.0
cate2_mix,5,0.3657338350834604,1009.0,782.5024999999999,935.3133448755369,-226.49750000000003,-0.22447720515361747,840.0
cate2_mix,6,0.5235374720260413,13255.0,8209.1275,6543.044535206605,-5045.8724999999995,-0.38067691437193507,1848.0
cate2_prophet,3,0.6842768321180615,14657.0,15365.245809759874,5033.011230966845,708.2458097598735,0.04832133518181576,1008.0
cate2_prophet,4,0.2720736762149462,553.0,321.136703796025,560.7524719393924,-231.86329620397498,-0.41928263328024407,336.0
cate2_prophet,5,0.39910483335045316,1009.0,806.2866784851624,884.2050037880343,-202.71332151483767,-0.2009051749403743,840.0
cate2_prophet,6,0.5067022484764406,13255.0,10057.516645719741,6824.506838568313,-3197.483354280259,-0.24122846882536847,1848.0
ensemble,3,0.6878661273253275,14657.0,15207.3756478079,4981.170696084876,550.3756478078996,0.037550361452404965,1008.0
ensemble,4,0.28947453335998524,553.0,337.0368630368201,557.0925435365866,-215.96313696317995,-0.390530084924376,336.0
ensemble,5,0.3970699228788433,1009.0,801.5298427881298,889.7456292211102,-207.4701572118701,-0.20561958098302288,840.0
ensemble,6,0.5263674238509494,13255.0,9687.838816575793,6552.182655936847,-3567.1611834242067,-0.26911815793468175,1848.0
ensemble_bias_global,3,0.6784020581521453,14657.0,15838.689002972042,5136.749412267443,1181.6890029720412,0.08062284253067074,1008.0
ensemble_bias_global,4,0.29767640463709416,553.0,351.02848642704276,559.3722826282285,-201.97151357295724,-0.3652287768046243,336.0
ensemble_bias_global,5,0.40495802591515767,1009.0,834.8042555489999,893.4680194214432,-174.1957444510002,-0.17264196675024795,840.0
ensemble_bias_global,6,0.5305545699214641,13255.0,10090.01616585851,6508.064360342595,-3164.9838341414925,-0.23877660008611787,1848.0
ensemble_bias_horizon,3,0.6781267137556924,14657.0,15803.820739502138,5140.103943778553,1146.8207395021388,0.07824389298643235,1008.0
ensemble_bias_horizon,4,0.29801784232014294,553.0,350.2454567943915,558.234145803947,-202.75454320560846,-0.36664474359061205,336.0
ensemble_bias_horizon,5,0.405604547498951,1009.0,835.2074905677268,892.6569274392323,-173.7925094322731,-0.1722423284759892,840.0
ensemble_bias_horizon,6,0.531156034378485,13255.0,10114.47257688186,6496.695525960242,-3140.5274231181406,-0.23693152946949383,1848.0
ensemble_bias_item,3,0.694135832340522,14657.0,14643.044910263889,4883.181033285588,-13.955089736111717,-0.0009521109187495201,1008.0
ensemble_bias_item,4,0.34944268019159774,553.0,454.99976509970713,581.3903445083356,-98.0002349002929,-0.17721561464790758,336.0
ensemble_bias_item,5,0.4289642181278485,1009.0,994.5952318603405,899.8267225605869,-14.404768139659556,-0.014276281605212642,840.0
ensemble_bias_item,6,0.5329673698465522,13255.0,10937.464568661311,6498.747392667812,-2317.535431338687,-0.17484235619303562,1848.0
ensemble_residual_beta_0.3,3,0.6811435170991624,14657.0,15381.016371955113,5086.045293198127,724.0163719551115,0.04939730995122545,1008.0
ensemble_residual_beta_0.3,4,0.29120628027895307,553.0,339.4785286745333,557.2359616217476,-213.5214713254667,-0.38611477635708263,336.0
ensemble_residual_beta_0.3,5,0.3969168095987179,1009.0,809.6348324987355,892.5333440139559,-199.36516750126447,-0.19758688553148113,840.0
ensemble_residual_beta_0.3,6,0.5279579679947137,13255.0,9768.063929143755,6534.230325590266,-3486.936070856245,-0.2630657163980569,1848.0
ensemble_residual_beta_0.5,3,0.6755121783636561,14657.0,15498.036660035357,5172.815275417834,841.0366600353569,0.05738122808455734,1008.0
ensemble_residual_beta_0.5,4,0.29221623763390053,553.0,341.1416853875871,557.4270711565719,-211.85831461241293,-0.38310725969694925,336.0
ensemble_residual_beta_0.5,5,0.39656269778877024,1009.0,815.1125100130505,894.6588485169605,-193.88748998694956,-0.19215806738052485,840.0
ensemble_residual_beta_0.5,6,0.5285619534956922,13255.0,9821.708728989148,6528.311385960804,-3433.2912710108526,-0.25901857948026047,1848.0
ensemble_residual_beta_0.7,3,0.6690973000354264,14657.0,15618.604861608108,5271.196872006617,961.6048616081086,0.06560720895190753,1008.0
ensemble_residual_beta_0.7,4,0.29316432608339454,553.0,342.9005394696861,557.7015092995479,-210.09946053031388,-0.37992669173655313,336.0
ensemble_residual_beta_0.7,5,0.3962473952147227,1009.0,820.8107649435512,896.8016497421014,-188.1892350564488,-0.1865106393027243,840.0
ensemble_residual_beta_0.7,6,0.5287756224353857,13255.0,9875.803153853532,6527.566092351175,-3379.1968461464685,-0.25493752139920545,1848.0
ensemble_residual_beta_0.9,3,0.6616679583720675,14657.0,15737.815349574228,5384.363059285005,1080.8153495742276,0.0737405573837912,1008.0
ensemble_residual_beta_0.9,4,0.2940800455207832,553.0,344.6319553623249,557.9664093167579,-208.3680446376751,-0.3767957407552895,336.0
ensemble_residual_beta_0.9,5,0.3958779420827581,1009.0,826.4322314558684,898.9769383749353,-182.56776854413158,-0.18093931471172606,840.0
ensemble_residual_beta_0.9,6,0.5286302980054686,13255.0,9928.475790628021,6531.533160993124,-3326.524209371978,-0.2509637276025634,1848.0
ensemble_shape_0.30,3,0.6655240940530135,14657.0,15559.588935924403,5325.551594523051,902.588935924404,0.06158074202936509,1008.0
